Branch_Name,Region,Month,Employees,Total_Customers,Product_Type,Revenue,Expenses,Profit,Customer_Satisfaction
Branch_17,North,17-07-2024,41,6098,Investments,3155223.09,3133820.91,21402.18,80.43
Branch_6,North,02-08-2023,115,3527,Credit Cards,3110908.77,2464209.26,646699.51,79.03
Branch_1,South,17-07-2024,91,2022,Insurance,4318916.68,591747.28,3727169.4,94.41
Branch_16,South,03-07-2024,44,2964,Investments,664217.55,496549.73,167667.82,60.44
Branch_14,West,18-07-2024,43,7256,Deposits,4047901.71,1178874.62,2869027.09,88.71
Branch_11,West,17-06-2024,21,1016,Credit Cards,3955527.87,2061899.3,1893628.57,94.38
Branch_3,East,28-02-2024,114,6236,Credit Cards,3933241.06,3500655.99,432585.07,96.74
Branch_3,South,25-04-2024,95,1126,Deposits,2879015.59,1223705.46,1655310.13,84.58
Branch_1,Central,11-01-2023,53,6035,Loans,2221250.34,3890833.61,-1669583.27,94.87
Branch_8,West,06-04-2023,21,2171,Deposits,1021717.77,821611.27,200106.5,94.09
Branch_5,Central,26-05-2024,95,1411,Insurance,2202749.93,3519848.05,-1317098.12,88.17
Branch_13,North,24-11-2023,100,6070,Credit Cards,758540.83,2107778.06,-1349237.23,79.31
Branch_8,North,14-03-2023,25,6173,Investments,1310231.83,695628.59,614603.24,64.04
Branch_15,Central,18-01-2023,94,4699,Deposits,1688348.82,3990058.08,-2301709.26,77.61
Branch_4,Central,29-04-2024,42,5189,Investments,698358.06,3307399.87,-2609041.81,85.81
Branch_8,North,05-06-2024,31,7605,Deposits,4101997.87,2268453.31,1833544.56,77.8
Branch_6,Central,02-10-2023,20,5525,Credit Cards,1497780.14,2804565.44,-1306785.3,81.49
Branch_15,West,01-04-2023,51,5317,Insurance,2192442.53,3714597.98,-1522155.45,64.8
Branch_5,North,11-09-2023,50,2148,Insurance,3639650.46,2381974.72,1257675.74,83.83
Branch_11,East,14-02-2023,96,4267,Deposits,2980258.35,324264.19,2655994.16,87.96
Branch_18,South,20-11-2023,37,5120,Investments,2112214.33,1442131.91,670082.42,89.8
Branch_5,East,07-11-2023,15,1825,Insurance,2633456.12,1270410.23,1363045.89,65.47
Branch_6,West,07-08-2023,59,5110,Deposits,4243327.69,339588.44,3903739.25,70.99
Branch_16,West,17-04-2023,50,3809,Credit Cards,2501638.75,106145.16,2395493.59,92.98
Branch_10,West,05-03-2023,79,2037,Investments,2020805.23,2178075.57,-157270.34,67.87
Branch_13,South,04-07-2023,16,5370,Investments,2978917.59,3888327.73,-909410.14,85.11
Branch_6,North,24-07-2023,117,1171,Investments,2682700.04,2471720.51,210979.53,93.09
Branch_10,East,18-11-2023,18,6319,Insurance,4993936.96,3057012.63,1936924.33,98.79
Branch_17,North,27-10-2023,20,2112,Investments,1895225.18,1753776.64,141448.54,85.51
Branch_19,South,08-06-2023,59,6237,Insurance,4556967.06,535837.55,4021129.51,91.3
Branch_17,South,24-03-2024,105,3775,Insurance,2092839.27,1558580.41,534258.86,87.73
Branch_9,North,03-08-2023,50,5436,Credit Cards,4874601.45,1509561.87,3365039.58,92.61
Branch_14,Central,04-03-2024,68,7516,Insurance,4258061.13,536207.22,3721853.91,60.99
Branch_7,East,21-04-2023,71,4527,Deposits,2746158.94,2332981.49,413177.45,63.58
Branch_10,West,28-02-2023,42,3194,Investments,3018301.99,2513501.79,504800.2,80.97
Branch_5,South,22-08-2024,26,5670,Loans,4069545.05,1374797.93,2694747.12,62.56
Branch_12,South,02-06-2024,84,2090,Loans,4336710.02,2850939.26,1485770.76,68.04
Branch_1,South,11-05-2023,98,2326,Insurance,2937536.41,2082676.96,854859.45,90.72
Branch_18,East,19-12-2023,93,7303,Deposits,4867163.53,833653.71,4033509.82,77.45
Branch_8,East,13-10-2023,114,3280,Loans,4727739.21,3715903.59,1011835.62,88.29
Branch_12,East,30-03-2024,105,1666,Investments,2333777.11,1774420.85,559356.26,85.64
Branch_13,Central,12-08-2024,80,5405,Insurance,4193593.73,2734818.68,1458775.05,84.33
Branch_20,East,01-07-2023,42,900,Credit Cards,2116950.81,2878044.82,-761094.01,66.72
Branch_17,North,04-05-2024,81,2350,Investments,4838425.03,2865731.31,1972693.72,62.03
Branch_18,North,17-07-2023,85,3943,Investments,2586895.08,3780059.64,-1193164.56,64.55
Branch_13,North,15-10-2023,56,3436,Insurance,3310495.72,296504.94,3013990.78,79.1
